Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k42_ecoli_20X_noerr_2-contigs	699	226	165	127	62	24	4580252	4525797	4379839	4091262	3040424	1673475	239	130749	4535238	4641652	50.75	50.79	38470	37623	18612	17978	38	40	79	83	0	0	0	0	0	0 + 0 part	0	97.637	1.001	0.37	0.53	0.00	130749	4535238	38470	37623	18612	17978	38	40	79	83
k48_ecoli_20X_noerr_2-contigs	573	180	132	107	65	28	4580600	4528537	4419190	4231805	3568549	2248669	191	215328	4537002	4641652	50.74	50.79	47192	46093	29809	27068	29	30	59	62	0	0	0	0	0	0 + 0 part	0	97.699	1.000	0.00	0.29	0.00	215328	4537002	47192	46093	29809	27068	29	30	59	62
k54_ecoli_20X_noerr_2-contigs	501	166	126	99	69	27	4581080	4532123	4438419	4235751	3752732	2298647	177	215334	4540220	4641652	50.75	50.79	53584	47198	29821	29178	27	28	57	60	0	0	0	0	0	0 + 0 part	0	97.775	1.000	0.00	0.31	0.00	215334	4540220	53584	47198	29821	29178	27	28	57	60
k60_ecoli_20X_noerr_2-contigs	464	162	124	100	67	25	4583047	4535748	4447056	4265939	3728029	2271672	175	272693	4544513	4641652	50.74	50.79	47236	46190	29578	28638	26	27	56	58	0	0	0	0	0	0 + 0 part	0	97.861	1.000	0.00	0.31	0.00	272693	4544513	47236	46190	29578	28638	26	27	56	58
k66_ecoli_20X_noerr_2-contigs	451	167	129	103	69	23	4585038	4537411	4451304	4256931	3699955	2034811	179	272699	4545903	4641652	50.75	50.79	46962	46172	29590	28644	28	30	59	61	0	0	0	0	0	0 + 0 part	0	97.893	1.000	0.00	0.31	0.00	272699	4545903	46962	46172	29590	28644	28	30	59	61
k72_ecoli_20X_noerr_2-contigs	458	184	138	110	69	21	4588382	4539845	4427792	4213229	3537930	1818400	195	272705	4547741	4641652	50.74	50.79	42644	42291	26237	25615	31	32	65	67	0	0	0	0	0	0 + 0 part	0	97.922	1.001	0.00	0.15	0.00	272705	4547741	42644	42291	26237	25615	31	32	65	67
k78_ecoli_20X_noerr_2-contigs	457	198	152	122	71	21	4589588	4540016	4428036	4195042	3369163	1552795	210	147331	4548445	4641652	50.74	50.79	40204	39789	23786	22224	38	39	73	76	0	0	0	0	0	0 + 0 part	0	97.942	1.001	0.00	0.18	0.00	147331	4548445	40204	39789	23786	22224	38	39	73	76
k84_ecoli_20X_noerr_2-contigs	472	242	171	132	64	18	4588931	4540516	4359357	4062494	2944136	1349704	257	151931	4550894	4641652	50.74	50.79	34703	32894	17932	17348	41	43	87	91	0	0	0	0	0	0 + 0 part	0	97.990	1.001	0.00	0.18	0.02	151931	4550894	34703	32894	17932	17348	41	43	87	91
k90_ecoli_20X_noerr_2-contigs	510	304	204	152	64	10	4588604	4541253	4274552	3883008	2478715	648313	319	93788	4552120	4641652	50.74	50.79	26201	25989	14236	13488	57	58	114	119	0	0	0	0	0	0 + 0 part	0	98.006	1.001	0.00	0.20	0.02	93788	4552120	26201	25989	14236	13488	57	58	114	119
k96_ecoli_20X_noerr_2-contigs	585	396	247	158	51	3	4587573	4538581	4137820	3472738	1771714	175237	416	66255	4552920	4641652	50.74	50.79	19488	18875	10415	9951	74	77	153	159	0	0	0	0	0	0 + 0 part	0	98.000	1.001	0.00	0.20	0.00	66255	4552920	19488	18875	10415	9951	74	77	153	159
k102_ecoli_50X_noerr_2-contigs	214	84	64	59	48	29	4591546	4562159	4511211	4472719	4298915	3662803	89	327155	4565856	4641652	50.74	50.79	133019	133019	63720	59758	13	13	25	26	0	0	0	0	0	0 + 0 part	0	98.323	1.000	0.00	2.28	0.04	327155	4565856	133019	133019	63720	59758	13	13	25	26
k108_ecoli_50X_noerr_2-contigs	203	81	60	55	45	28	4593365	4564620	4510793	4472178	4319949	3740301	87	327197	4568847	4641652	50.74	50.79	133114	133114	78708	67434	12	12	23	24	0	0	0	0	0	0 + 0 part	0	98.364	1.001	0.00	2.41	0.04	327197	4568847	133114	133114	78708	67434	12	12	23	24
k114_ecoli_50X_noerr_2-contigs	195	78	60	55	46	28	4594200	4563054	4517348	4480448	4353103	3749204	88	327179	4570393	4641652	50.75	50.79	133031	133031	78720	67446	12	12	23	24	1	1	5986	0	0	0 + 0 part	0	98.407	1.001	0.00	1.47	0.00	327179	4570393	133031	133031	78720	67446	12	12	23	24
k120_ecoli_50X_noerr_2-contigs	189	78	60	55	44	28	4593808	4565900	4519166	4483291	4316516	3764481	83	327191	4569691	4641652	50.74	50.79	133037	133037	78732	67458	12	12	23	24	1	1	86645	0	0	0 + 0 part	0	98.402	1.000	0.00	2.47	0.04	327191	4569691	133037	133037	78732	67458	12	12	23	24
k126_ecoli_50X_noerr_2-contigs	186	79	61	56	45	29	4594555	4566546	4519439	4483516	4302456	3758399	84	327785	4570358	4641652	50.74	50.79	132696	132696	67470	65024	12	12	24	25	1	1	39637	0	0	0 + 1 part	750	98.374	1.001	0.00	1.93	0.04	327785	4569608	132696	132696	67470	65024	12	12	24	25
k30_ecoli_50X_noerr_2-contigs	970	308	215	140	56	11	4576332	4512574	4252862	3672082	2347427	779634	324	127974	4523967	4641652	50.74	50.79	25789	25606	12828	11938	53	55	116	123	0	0	0	0	0	0 + 0 part	0	97.393	1.001	2.56	1.17	0.07	127974	4523967	25789	25606	12828	11938	53	55	116	123
k36_ecoli_50X_noerr_2-contigs	752	251	188	134	60	14	4579697	4525222	4359900	3935730	2758027	1110012	265	232006	4535384	4641652	50.75	50.79	32799	31799	16285	15325	43	45	93	98	0	0	0	0	0	0 + 0 part	0	97.635	1.001	0.82	1.43	0.04	232006	4535384	32799	31799	16285	15325	43	45	93	98
